,name,score
658,ADAM10,-0.4043499
659,ITGAL,-0.40485033
660,EME1,-0.405448
661,NUP153,-0.40561727
662,PDPK1,-0.40615526
663,ZNRF3,-0.40788534
664,IL18R1,-0.408375
665,TCF12,-0.4089068
666,NEDD4,-0.41024634
667,CDK9,-0.4109893
668,DNA2,-0.41273823
669,ETS2,-0.4128342
670,AP1G1,-0.4128454
671,IL2RA,-0.4136577
672,SMARCD1,-0.4142693
673,KIF5C,-0.41453746
674,DVL2,-0.41492257
675,RBBP5,-0.41494456
676,CYP3A4,-0.41651216
677,KDM3A,-0.41696072
678,PCDH7,-0.4170631
679,PGF,-0.41762856
680,ABLIM1,-0.41801813
681,DEK,-0.41848657
682,EGR2,-0.41904712
683,CREB3,-0.41946873
684,WASF3,-0.4197996
685,TYK2,-0.42155242
686,EPHA4,-0.42196384
687,E2F2,-0.42213562
688,TLR7,-0.42230263
689,CTNNA3,-0.4223821
690,ROCK1,-0.42478952
691,GOLGA4,-0.4254124
692,RYR1,-0.42579556
693,MRE11,-0.4260385
694,ELAVL1,-0.42659727
695,YAP1,-0.42672864
696,RAD21,-0.42736682
697,NPR1,-0.42753732
698,ZMYM2,-0.42763153
699,ITGB2,-0.42785457
700,MCM2,-0.43078184
701,TAB3,-0.4311136
702,HDAC2,-0.43370137
703,PCNT,-0.43383184
704,LATS1,-0.4343786
705,HLA-F,-0.43443456
706,CREB3L3,-0.43451595
707,JMJD1C,-0.43463358
708,SLC22A17,-0.4351904
709,NTF3,-0.43539014
710,PHC2,-0.43582854
